id,Name,price,quantity,brand
1,Sleek Granite Bench,$48.99,6,Nike
2,Ergonomic Copper Lamp,$86.99,14,Nikon
3,Aerodynamic Cotton Coat,$54.99,8,Beats
4,Enormous Linen Lamp,$95.99,13,Nike
5,Practical Cotton Pants,$77.99,7,Nikon
6,Enormous Bronze Gloves,$50.99,6,Beats
7,Ergonomic Leather Lamp,$95.99,14,Adidas
8,Aerodynamic Plastic Bottle,$44.99,5,Dell
9,Practical Concrete Lamp,$29.99,13,Dell
10,Rustic Linen Bottle,$22.99,13,Apple
11,Enormous Bronze Shirt,$28.99,10,Nike
12,Enormous Copper Clock,$57.99,5,Beats
13,Small Marble Keyboard,$4.99,13,Apple
14,Incredible Copper Lamp,$89.99,6,LG
15,Lightweight Bronze Wallet,$94.99,12,LG
16,Lightweight Leather Chair,$98.99,9,Beats
17,Synergistic Granite Hat,$45.99,3,Beats
18,Aerodynamic Wool Watch,$19.99,13,Apple
19,Synergistic Concrete Watch,$71.99,12,Adidas
20,Awesome Wool Bench,$41.99,10,GoPro
21,Rustic Granite Table,$46.99,1,Sony
22,Fantastic Wool Coat,$27.99,1,Sony
23,Enormous Cotton Gloves,$8.99,5,Nikon
24,Aerodynamic Bronze Gloves,$61.99,13,Adidas
25,Incredible Paper Computer,$51.99,1,Apple
26,Aerodynamic Linen Lamp,$16.99,5,Samsung
27,Heavy Duty Silk Bottle,$9.99,3,Nikon
28,Incredible Bronze Clock,$77.99,14,Nikon
29,Heavy Duty Linen Knife,$63.99,2,Samsung